Numărul de cărți este 994

| Cartea | Pagini |
|--------|--------|
|      1 |   1287 |
|      2 |    395 |
|      3 |    244 |
|      4 |   1196 |
|      5 |    921 |
|      6 |    387 |
|      7 |   1376 |
|      8 |    615 |
|      9 |   1091 |
|     10 |    558 |
|     11 |   1495 |
|     12 |    563 |
|     13 |   1454 |
|     14 |    223 |
|     15 |     53 |
|     16 |    104 |
|     17 |   1366 |
|     18 |    522 |
|     19 |   1365 |
|     20 |    881 |
|     21 |    918 |
|     22 |   1052 |
|     23 |   1021 |
|     24 |   1275 |
|     25 |   1435 |
|     26 |   1233 |
|     27 |    464 |
|     28 |   1142 |
|     29 |   1208 |
|     30 |   1052 |
|     31 |    783 |
|     32 |   1328 |
|     33 |     62 |
|     34 |    944 |
|     35 |    118 |
|     36 |   1161 |
|     37 |    970 |
|     38 |   1444 |
|     39 |   1050 |
|     40 |    334 |
|     41 |    963 |
|     42 |   1338 |
|     43 |    344 |
|     44 |   1186 |
|     45 |   1217 |
|     46 |   1375 |
|     47 |    214 |
|     48 |    881 |
|     49 |    815 |
|     50 |    298 |
|     51 |    700 |
|     52 |    156 |
|     53 |    394 |
|     54 |   1167 |
|     55 |    491 |
|     56 |    117 |
|     57 |    420 |
|     58 |   1361 |
|     59 |    612 |
|     60 |    576 |
|     61 |    569 |
|     62 |    376 |
|     63 |   1206 |
|     64 |   1120 |
|     65 |   1208 |
|     66 |    207 |
|     67 |   1423 |
|     68 |   1016 |
|     69 |    119 |
|     70 |    245 |
|     71 |    203 |
|     72 |   1486 |
|     73 |    593 |
|     74 |    261 |
|     75 |   1422 |
|     76 |    248 |
|     77 |    816 |
|     78 |    137 |
|     79 |    398 |
|     80 |    424 |
|     81 |    707 |
|     82 |   1085 |
|     83 |    813 |
|     84 |   1235 |
|     85 |    190 |
|     86 |    919 |
|     87 |    158 |
|     88 |    510 |
|     89 |    845 |
|     90 |    440 |
|     91 |    386 |
|     92 |    964 |
|     93 |     79 |
|     94 |   1322 |
|     95 |    578 |
|     96 |   1331 |
|     97 |    773 |
|     98 |    749 |
|     99 |   1197 |
|    100 |    139 |
|    101 |    187 |
|    102 |   1405 |
|    103 |    237 |
|    104 |     57 |
|    105 |    908 |
|    106 |    493 |
|    107 |   1120 |
|    108 |    969 |
|    109 |    604 |
|    110 |   1038 |
|    111 |    488 |
|    112 |   1357 |
|    113 |    986 |
|    114 |    411 |
|    115 |    684 |
|    116 |    889 |
|    117 |   1258 |
|    118 |    134 |
|    119 |    548 |
|    120 |    934 |
|    121 |    239 |
|    122 |   1084 |
|    123 |    691 |
|    124 |    896 |
|    125 |   1030 |
|    126 |   1471 |
|    127 |    399 |
|    128 |   1424 |
|    129 |    565 |
|    130 |   1441 |
|    131 |    133 |
|    132 |   1177 |
|    133 |    191 |
|    134 |   1435 |
|    135 |    870 |
|    136 |    175 |
|    137 |    976 |
|    138 |    566 |
|    139 |     57 |
|    140 |   1137 |
|    141 |    956 |
|    142 |   1484 |
|    143 |    431 |
|    144 |   1498 |
|    145 |    712 |
|    146 |    161 |
|    147 |    134 |
|    148 |    413 |
|    149 |    930 |
|    150 |    310 |
|    151 |   1457 |
|    152 |    215 |
|    153 |    562 |
|    154 |   1266 |
|    155 |    685 |
|    156 |    229 |
|    157 |    365 |
|    158 |    134 |
|    159 |    447 |
|    160 |    899 |
|    161 |    715 |
|    162 |    577 |
|    163 |   1144 |
|    164 |    509 |
|    165 |    608 |
|    166 |    812 |
|    167 |    978 |
|    168 |    869 |
|    169 |    193 |
|    170 |   1250 |
|    171 |    730 |
|    172 |    394 |
|    173 |    202 |
|    174 |    822 |
|    175 |     64 |
|    176 |    383 |
|    177 |    248 |
|    178 |   1091 |
|    179 |    586 |
|    180 |   1112 |
|    181 |    302 |
|    182 |    908 |
|    183 |   1200 |
|    184 |    610 |
|    185 |    208 |
|    186 |    340 |
|    187 |   1205 |
|    188 |    672 |
|    189 |     91 |
|    190 |   1421 |
|    191 |     64 |
|    192 |   1072 |
|    193 |   1376 |
|    194 |    831 |
|    195 |    619 |
|    196 |    777 |
|    197 |    973 |
|    198 |    615 |
|    199 |   1209 |
|    200 |    727 |
|    201 |   1288 |
|    202 |   1267 |
|    203 |    684 |
|    204 |     58 |
|    205 |    456 |
|    206 |   1288 |
|    207 |    382 |
|    208 |    955 |
|    209 |    133 |
|    210 |   1096 |
|    211 |    197 |
|    212 |   1208 |
|    213 |     91 |
|    214 |    338 |
|    215 |    915 |
|    216 |   1010 |
|    217 |   1400 |
|    218 |    590 |
|    219 |   1130 |
|    220 |     93 |
|    221 |    699 |
|    222 |    172 |
|    223 |    770 |
|    224 |    170 |
|    225 |   1482 |
|    226 |   1220 |
|    227 |   1430 |
|    228 |    722 |
|    229 |   1266 |
|    230 |    302 |
|    231 |    470 |
|    232 |    890 |
|    233 |    227 |
|    234 |    505 |
|    235 |     90 |
|    236 |    306 |
|    237 |    572 |
|    238 |   1307 |
|    239 |    570 |
|    240 |   1275 |
|    241 |    760 |
|    242 |     71 |
|    243 |    434 |
|    244 |    474 |
|    245 |    414 |
|    246 |   1443 |
|    247 |    134 |
|    248 |    376 |
|    249 |    665 |
|    250 |    650 |
|    251 |    455 |
|    252 |    860 |
|    253 |    797 |
|    254 |   1484 |
|    255 |    417 |
|    256 |   1080 |
|    257 |    921 |
|    258 |    496 |
|    259 |    958 |
|    260 |   1313 |
|    261 |    205 |
|    262 |    691 |
|    263 |    391 |
|    264 |    606 |
|    265 |   1004 |
|    266 |   1041 |
|    267 |    507 |
|    268 |    260 |
|    269 |    580 |
|    270 |    444 |
|    271 |    765 |
|    272 |    858 |
|    273 |    290 |
|    274 |    103 |
|    275 |    446 |
|    276 |   1392 |
|    277 |    584 |
|    278 |    660 |
|    279 |    660 |
|    280 |    974 |
|    281 |   1038 |
|    282 |   1015 |
|    283 |    565 |
|    284 |   1160 |
|    285 |    282 |
|    286 |   1335 |
|    287 |   1364 |
|    288 |   1304 |
|    289 |   1037 |
|    290 |   1089 |
|    291 |    560 |
|    292 |    153 |
|    293 |    634 |
|    294 |    536 |
|    295 |    980 |
|    296 |   1201 |
|    297 |    316 |
|    298 |    310 |
|    299 |    384 |
|    300 |    980 |
|    301 |    954 |
|    302 |     72 |
|    303 |    671 |
|    304 |    930 |
|    305 |    544 |
|    306 |    694 |
|    307 |    772 |
|    308 |   1271 |
|    309 |    146 |
|    310 |    603 |
|    311 |    311 |
|    312 |    560 |
